Responses,LP1,LP2,LP3,LP4,LP5,LP,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS,OP1,OP2,OP3,OP4,OP5,OP6,OP,FP1,FP2,FP3,FP4,FP5,FP,SP1,SP2,SP3,SP4,SP5,SP,EP1,EP2,EP3,EP4,EP5,EP6,EP7,EP
1,4,5,3,4,3,4,4,3,4,2,3,3,4,4,3,4,3,4,3,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,3,3,4,3,3,3,3,3
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4,4,4,5,,4,3,4,5,3,5,4,4,5,4,4,5,4,3,4,5,5,4,4,5,5,4,5,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4
6,3,4,3,3,4,3,4,5,4,4,4,5,4,4,4,4,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4,5,4,3,3,4,4,4,4,4,4
7,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4
8,3,4,2,3,4,3,4,3,4,4,4,5,5,4,4,5,4,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,4,4,4,5,5,4,3,3,4,4,3,4,4,4
9,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
10,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4
11,4,1,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
12,4,4,4,4,4,4,4,5,3,4,4,5,5,4,4,4,5,4,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14,4,5,4,3,4,4,4,4,4,3,5,4,4,5,4,4,4,5,4,5,4,5,4,4,4,4,5,4,4,4,3,4,4,4,5,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4
15,4,4,3,5,4,4,4,4,5,3,5,4,5,3,4,5,4,4,3,5,4,5,4,4,5,4,5,5,5,5,4,4,5,4,5,4,4,3,5,5,5,4,4,3,5,3,4,4,5,4
16,3,4,2,3,3,3,3,4,5,3,4,5,5,4,4,4,4,5,4,3,4,4,4,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,5,4,5,4,5,4,4,5,3,4,3,4
17,3,2,2,3,2,2,2,5,3,4,3,4,4,3,4,4,2,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,2,2,3,3,4,3
18,3,4,2,4,5,4,4,4,3,3,3,4,5,5,4,5,4,5,4,4,4,4,4,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,4
19,4,5,3,5,3,4,4,5,4,4,3,4,3,5,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,3,4,4,4,5,4,5,4,5,5,4,4,4,4
20,5,4,2,3,4,4,5,5,4,3,4,4,5,5,4,4,4,3,2,4,3,4,3,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
21,4,4,3,5,4,4,3,5,4,4,3,4,4,5,4,4,4,5,3,4,5,4,4,5,4,4,5,5,4,5,5,4,4,4,5,4,5,5,4,4,5,5,5,4,4,4,5,4,5,4
22,4,3,3,4,4,4,4,5,4,3,3,4,5,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5
23,4,4,3,4,5,4,4,5,4,5,4,4,4,5,4,4,5,5,3,4,4,4,4,5,5,4,5,4,4,5,4,4,4,5,5,4,5,4,5,4,5,5,5,5,5,5,4,4,4,5
24,5,4,4,5,5,5,5,5,4,3,4,3,4,3,4,4,4,5,3,4,4,4,4,5,5,4,5,5,4,5,5,4,5,4,4,4,5,5,4,3,5,4,4,5,3,4,4,4,4,4
25,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,4,4,5,5,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,5,5,4,5,4,5,4,4,4,5,4,4,5,5,5,5
26,2,3,2,3,2,2,3,4,3,5,4,3,4,4,4,3,4,4,3,4,4,4,4,5,3,4,3,3,4,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,4,4,3,4,4,4
27,4,4,5,5,3,4,4,5,4,2,2,2,3,2,3,4,3,4,3,4,3,4,4,3,4,3,3,4,3,3,3,4,4,4,3,4,4,4,3,5,3,4,4,3,4,4,4,4,3,4
28,3,4,3,4,4,4,3,5,4,5,4,5,4,4,4,5,4,4,4,4,5,3,4,3,3,3,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,4,5,4,5,4,4,4,4
29,3,1,1,2,2,2,3,4,3,2,3,2,3,2,3,3,2,3,3,2,3,2,3,3,3,3,3,3,4,3,4,4,3,4,5,4,4,5,4,5,4,4,5,4,5,2,1,2,3,3
30,3,4,4,3,4,4,1,4,3,1,2,2,3,2,2,1,2,2,3,2,2,1,2,3,4,3,3,4,3,3,4,3,4,3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4
31,3,1,1,2,3,2,2,3,3,3,2,3,3,4,3,2,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4
32,3,3,3,4,3,3,5,5,4,4,4,5,4,4,4,5,4,4,4,5,4,5,4,4,5,4,5,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4
33,3,3,4,2,1,3,4,5,5,4,3,4,3,4,4,3,4,4,3,4,3,4,4,4,4,3,5,4,3,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,1,4,4
34,4,4,3,5,3,4,1,5,3,2,3,2,2,3,3,1,2,2,1,2,2,3,2,4,3,2,4,3,5,4,3,3,4,3,4,3,3,4,4,4,4,4,4,3,4,3,3,3,4,3
35,3,2,2,3,2,2,2,3,2,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,4,4,3,3,3,4,3,4,3,2,3,4,3,3,3,4,3,4,3,4,4,3,4
36,2,3,4,4,3,3,2,4,4,3,4,3,4,3,3,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,5,4,3,5,4,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4
37,2,3,4,4,3,3,4,4,5,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4
38,4,3,3,4,3,3,4,3,4,3,4,3,4,4,4,3,4,4,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,5,4,3,4,3,4,4,4,3,3,4,3,5,4
39,4,3,4,3,4,4,3,4,4,4,3,4,4,3,4,4,4,3,2,2,3,3,3,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
40,3,4,4,5,4,4,4,5,5,4,4,5,5,4,5,5,4,4,5,5,4,3,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,4,4,5,5,5,4
41,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,4,5
42,4,4,4,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5
43,5,4,4,5,4,4,5,5,4,5,4,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
44,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5
45,4,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
46,5,4,5,5,5,5,4,5,5,4,4,3,4,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5
47,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
48,4,5,4,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,,5
49,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,4,5,5
50,4,5,4,5,4,4,4,5,4,5,4,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
51,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
52,4,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
53,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5
54,4,5,4,5,4,4,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
55,5,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,5,5,5,5,5,5,5,5
56,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
57,4,4,3,4,3,4,4,4,4,5,4,4,5,4,4,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5
58,5,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5
59,5,4,4,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
60,4,4,4,5,4,4,4,5,4,5,4,4,5,4,4,5,5,5,5,4,4,4,5,5,4,5,5,4,5,5,5,4,5,4,4,4,5,4,5,4,5,5,5,5,4,5,5,4,5,5
61,5,4,3,4,4,4,4,5,4,3,4,5,4,4,4,3,4,5,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,5,4,5,4,5,5,4,4,4,5,4,3,3,4
62,4,5,4,4,5,4,5,5,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,5,4,5,5,4,4,5,5,4,4,5,4,5,4,5,5,5,5,4,4,4,4,4,4
63,5,4,4,4,5,4,5,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5,4,5,4,4,5,5,4,5,4,4,4,5,4,5,5,4,5,5,4,5,4,4,4,4,4
64,4,5,4,4,5,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,5,5,5,4,5
65,4,4,5,4,4,4,4,4,5,4,5,4,5,,4,5,4,4,4,5,4,5,4,5,5,5,5,4,5,5,5,4,4,4,5,4,5,5,4,5,5,5,5,5,4,4,5,5,5,5
66,4,5,5,4,5,5,5,5,4,4,5,5,4,5,5,5,4,5,4,5,4,4,4,5,5,5,5,4,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5
67,4,3,3,4,4,4,4,5,3,4,4,4,4,4,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,4,4
68,4,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5
69,5,4,4,4,5,4,5,5,5,4,4,3,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5
70,4,5,4,5,4,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,4,5,5,5
71,5,4,5,4,5,5,5,4,5,4,4,5,5,5,5,4,4,5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5,5
72,5,5,5,4,4,5,4,5,5,4,5,5,4,5,5,4,5,4,4,5,4,4,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,4,4,5,4,4,4,5,5,5,5,4,5,5
73,4,5,4,5,4,4,5,5,4,5,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,5,5,4,4,4,5,5,5,4,4,5,4,5,4,5,4,5,4,4
74,4,4,4,4,4,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,4,5,4,5,5,4,5,5,5,4,5,4,4,4,4,4,5,4,4,4,5,4,5,5,4,5,5,5
75,5,4,4,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5
76,5,5,4,4,4,4,5,5,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5
77,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5,4,5,4,4,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5
78,4,5,4,5,5,5,4,4,4,5,5,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,5,4,5,4,5,5
79,5,4,5,4,5,5,5,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5
80,5,4,5,4,4,4,4,5,4,4,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,4,5,4,5,4,4,4,4
81,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
82,5,4,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5
83,5,4,5,4,5,5,5,5,4,4,5,4,4,5,5,5,5,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,3,3,4,4,3,3,4,4,4,5,4,4
84,4,4,3,4,5,4,4,5,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
85,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
86,5,5,4,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5
87,4,4,5,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,5,5,4,4,5,4,5,4,5,4,4,4,5,4,5,4,5,5,5,4,5,4,4,4,5,4,5,5,4,5,4,5
88,4,5,4,4,5,4,4,5,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,4,5
89,4,4,5,4,5,4,5,5,5,4,4,3,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,5,4,4,5,5,4,5,4,5,5,4,4,5,4,4,4,5,4,4,4,5,4,4
90,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5
91,4,4,5,4,5,4,5,4,5,5,5,4,5,4,5,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5
92,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,5,4,4,4,4,4,4,4,5,4,5,5,4,5,3,3,4,4
93,5,4,3,3,4,4,4,5,5,4,4,4,5,4,4,5,5,4,5,4,3,3,4,5,4,4,5,4,5,5,5,4,4,5,4,4,5,4,4,5,5,5,5,4,5,4,3,3,4,4
94,4,4,3,4,4,4,4,5,5,5,4,5,4,4,5,5,4,4,2,4,4,3,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,4,5,5,4,5
95,4,4,5,5,4,4,4,5,5,4,4,5,5,4,5,4,5,4,5,5,4,4,4,4,5,4,5,4,5,5,5,5,4,5,5,5,4,4,4,5,5,4,5,4,5,5,4,5,5,5
96,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5
97,4,5,4,4,5,4,4,4,4,5,4,4,5,5,4,4,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5
98,3,3,4,3,4,3,4,4,4,4,4,5,5,4,4,5,4,5,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,5,4,4,5,4,5,5,5
99,5,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4
100,5,2,2,5,4,4,4,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,4,5,5,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,4,4,5,4,4
101,5,4,2,3,4,4,5,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,4,4,5,5,4,4,4,5,4,4,4,5,4,5,4,5,5,5,4,4,4,4,5,4,4
